AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
-1790,-1281,186,464,-135,407,0
-1880,-1058,187,495,156,265,0
-1720,-848,122,539,321,98,0
-1699,-765,116,566,393,-110,0
-1724,-752,83,560,433,-338,0
-1786,-763,85,519,252,-575,0
-1559,-761,3,457,-366,-819,0
-1111,-840,-276,362,-313,-1096,0
-1447,-627,-386,253,-554,-1322,0
-2067,-385,-324,119,-1087,-1424,0
-2102,-551,-324,-62,-1181,-1408,0
-2123,-759,-354,-224,-307,-1326,0
-2056,-930,-318,-404,739,-1201,0
-1972,-736,-126,-549,1189,-1080,0
-2170,-408,244,-630,952,-934,0
-2372,-514,390,-644,832,-686,0
-2662,-829,29,-677,990,-352,0
-2687,-1034,-330,-767,515,-48,0
-2387,-1044,-89,-831,-443,116,0
-2087,-1002,295,-764,-1174,147,0
-1794,-959,504,-575,-1443,79,0
-1354,-544,532,-359,-1249,-78,0
-1365,-887,152,-215,-608,-322,0
-1960,-1311,-351,-223,-441,-515,0
-2118,-1482,-438,-306,-704,-630,0
-2094,-1427,-257,-386,-1132,-730,0
-1935,-1402,7,-420,-1293,-850,0
-1718,-1474,327,-385,-1253,-1026,0
-1567,-1571,436,-314,-1150,-1260,0
-1602,-1604,251,-286,-980,-1499,0
-1751,-1721,299,-226,-882,-1688,0
-1779,-1811,259,-225,-792,-1801,0
-1779,-1887,291,-144,-351,-1885,0
-1917,-1900,430,-35,-459,-1961,0
-1832,-1772,263,36,-519,-2020,0
-1535,-1838,63,27,-338,-2117,0
-1366,-1829,20,-24,-135,-2246,0
-1345,-1843,167,-78,-50,-2354,0
-1355,-1903,221,-91,133,-2423,0
-1331,-1935,251,-67,187,-2474,0
-1325,-1938,295,-10,94,-2488,0
-1326,-1999,300,66,28,-2443,0
-1272,-1998,301,129,24,-2373,0
-1235,-1924,272,167,-53,-2304,0
-1102,-1881,201,177,2,-2249,0
-871,-1866,205,167,-90,-2239,0
-705,-1807,197,145,85,-2244,0
-771,-1892,-21,95,61,-2236,0
-669,-1899,-3,36,-128,-2192,0
-434,-1823,121,19,-7,-2136,0
-463,-1795,176,36,283,-2087,0
-565,-1732,89,44,350,-2032,0
-668,-1693,35,36,380,-1929,0
-675,-1562,138,29,635,-1782,0
-989,-1687,210,37,778,-1579,0
-1234,-1752,104,24,380,-1290,0
-1219,-1743,285,3,-61,-929,0
-1041,-1717,161,-13,-91,-521,0
-858,-1610,176,-26,129,-147,0
-778,-1518,207,-22,152,149,0
-716,-1452,163,-27,141,399,0
-647,-1435,122,-56,114,607,0
-538,-1333,-88,-107,-70,744,0
-328,-1356,452,-113,-381,787,0
-50,-1308,140,-1,-426,762,0
-134,-1193,-23,77,-217,732,0
-437,-1156,-70,123,-136,797,1
-423,-1215,-155,101,-54,989,1
-735,-1264,-275,-8,190,1344,1
-1079,-1336,-321,-185,593,1882,1
-1428,-1324,-305,-417,998,2575,1
-1772,-1320,-218,-653,1158,3353,1
-1910,-1319,-33,-841,1126,4124,1
-2086,-1342,97,-952,860,4836,1
-1902,-1433,348,-938,584,5425,1
-1679,-1380,514,-750,310,5785,1
-1492,-1374,664,-404,-60,5925,1
-1395,-1346,709,63,-512,5888,1
-1654,-1194,515,516,-984,5786,1
-1583,-1225,96,772,-1591,5635,1
-1636,-837,-309,793,-2095,5404,1
-2074,79,-674,640,-2081,5217,1
-1434,-1161,-748,326,-2459,4885,1
-1334,-129,-451,41,-2137,4399,1
-926,-300,-80,-127,-1730,3676,1
-820,-75,123,-154,-1096,2801,1
-1017,97,280,-97,-269,1869,1
-1561,275,302,-36,690,1064,1
-2142,449,302,-22,1575,416,1
-2749,462,308,-80,1994,-108,1
-3230,403,494,-161,1919,-535,1
-3395,281,594,-213,1333,-939,1
-3263,112,560,-262,452,-1369,1
-2904,-48,493,-315,-392,-1797,1
-2462,-242,468,-333,-857,-2194,1
-2021,-398,416,-280,-910,-2565,1
-1620,-670,439,-135,-479,-2909,1
-1387,-870,342,104,311,-3211,1
-1310,-913,165,390,1098,-3436,0
-1434,-863,100,668,1863,-3553,0
-1614,-899,-43,887,2482,-3503,0
-1988,-992,-110,1045,2712,-3320,0
-2366,-734,-108,1152,2198,-3055,0
-2603,-974,78,1189,1424,-2712,0
-2728,-1185,219,1159,907,-2304,0
-2657,-1143,190,1090,370,-1880,0
-2453,-1073,263,1010,-383,-1503,0
-2024,-999,127,921,-873,-1209,0
-1672,-917,14,828,-1184,-1000,0
-1244,-995,5,732,-1407,-868,0
-854,-1143,45,643,-1433,-816,0
-639,-1274,143,568,-1238,-823,0
-563,-1340,246,520,-948,-873,0
-615,-1250,319,503,-721,-951,0
-750,-1175,347,502,-603,-1019,0
-867,-1168,309,495,-580,-1054,0
-931,-1181,229,461,-569,-1045,0
-942,-1233,109,383,-490,-994,0
-935,-1329,7,256,-331,-901,0
-984,-1446,17,94,-116,-772,0
-1180,-1552,88,-62,230,-613,0
-1094,-1615,130,-208,181,-454,0
-1076,-1670,342,-318,260,-301,0
-1137,-1773,482,-347,447,-138,0
-1222,-1783,509,-335,525,38,0
-1360,-1767,609,-271,523,234,0
-1451,-1777,582,-171,441,454,0
-1511,-1830,466,-88,320,686,0
-1564,-1914,350,-52,120,912,0
-1606,-1981,321,-62,-76,1118,0
