AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Trigger
223,-80,-2382,3319,1237,2991,1
303,-190,-2367,3420,1440,3018,1
536,-214,-2340,3492,1676,2992,1
590,-335,-2246,3538,1917,2889,1
601,-436,-2197,3566,2068,2734,1
600,-500,-2056,3596,2067,2528,1
316,-560,-1967,3653,1928,2347,1
255,-463,-2046,3701,1639,2242,1
172,-392,-2117,3715,1243,2171,1
201,-679,-2227,3673,1176,2134,1
216,-675,-2178,3593,967,2119,1
306,-814,-2029,3551,992,2092,1
285,-958,-1898,3539,984,2054,1
350,-1025,-1759,3559,904,2001,1
281,-942,-1699,3597,780,1947,1
234,-1110,-1681,3632,754,1922,1
168,-1245,-1642,3657,645,1900,1
158,-1166,-1985,3549,408,1862,1
266,-1583,-1003,3785,376,1845,1
177,-1354,-1690,3945,379,1856,1
264,-1529,-1311,4120,347,1870,1
262,-1591,-1340,4440,265,1844,1
154,-1577,-1500,4530,179,1828,1
179,-1645,-1534,4498,81,1804,1
193,-1629,-1458,4400,1,1742,1
92,-1587,-1200,4245,-177,1675,1
101,-1615,-1133,4248,-222,1620,1
76,-1558,-974,4197,-142,1598,1
-32,-1689,-573,4188,109,1645,1
-95,-1723,-603,4248,254,1705,1
-203,-1729,-95,4284,107,1736,1
-308,-1802,-423,4431,-64,1741,1
-356,-1680,-639,4403,-575,1718,1
-147,-1685,-663,4272,-761,1664,1
-52,-1665,-788,4032,-736,1600,1
17,-1501,-718,3734,-651,1536,1
8,-1468,-596,3433,-361,1484,1
-168,-1714,163,3179,-163,1433,1
-201,-1726,348,3252,-241,1344,1
-237,-1810,584,3288,-340,1224,1
-163,-1809,586,3513,-417,1111,1
-181,-1687,574,3695,-400,1016,1
-252,-1596,202,3721,-371,935,1
-348,-1494,107,3520,-448,870,1
-430,-1368,20,3219,-446,843,1
-534,-1330,-9,2871,-490,830,1
-435,-1365,313,2613,-683,778,1
-150,-1375,750,2571,-799,662,1
-61,-1182,251,2557,-564,530,1
-216,-1349,1017,2933,-285,460,1
-307,-1309,1042,3053,-44,457,1
-524,-1124,984,3148,138,540,1
-702,-929,979,3178,136,690,1
-945,-788,856,3112,14,900,1
-1008,-773,891,2975,-268,1153,1
-759,-758,1212,2863,-531,1369,1
-800,-729,1246,2789,-649,1562,1
-865,-633,1245,2698,-882,1782,1
-650,-627,1336,2618,-932,1985,1
-650,-589,1300,2537,-1014,2152,1
-481,-472,1418,2466,-1126,2294,1
-218,-421,1382,2408,-967,2403,1
-159,-384,1330,2334,-589,2496,1
-119,-394,1445,2271,-119,2593,1
-155,-406,1527,2228,188,2649,1
-373,-487,1701,2198,213,2703,1
-470,-458,1656,2155,218,2779,1
-714,-413,1571,2052,102,2893,1
-845,-285,1551,1927,-31,3072,1
-890,-203,1525,1811,-156,3259,1
-808,94,1644,1734,-386,3419,1
-670,-13,1762,1716,-488,3511,1
-725,-165,1668,1728,-556,3550,1
-265,-146,2086,1830,-682,3446,1
-151,-319,2107,1999,-361,3206,1
-322,-271,2152,2132,-182,2929,1
-395,-134,2058,2211,-28,2633,1
-512,-15,1804,2155,60,2359,1
-88,516,1747,2002,-96,2018,1
-491,472,1558,1739,94,1687,1
-550,903,1562,1409,-158,1443,1
-610,816,1628,1030,-14,1262,1
-330,899,1682,645,316,1118,1
-776,765,1842,300,950,1019,1
-1413,716,2195,54,732,997,0
-1667,693,2477,-45,215,1053,0
-1116,636,2355,-64,-100,1117,0
-756,718,2377,-32,-80,1069,0
-760,553,2545,36,56,949,0
-967,401,2462,90,597,825,0
-1367,384,2218,64,536,719,0
-1390,311,2134,-15,150,646,0
-1127,247,2213,-108,-107,544,0
-816,243,2308,-174,-224,384,0
-665,247,2342,-217,-215,186,0
-684,311,2337,-245,-221,5,0
-754,370,2274,-278,-256,-123,0
-900,326,2145,-335,-300,-163,0
-982,216,2144,-408,-171,-117,0
-1165,-75,2286,-452,-43,-19,0
-1340,-331,2434,-451,131,108,0
-1295,-362,2485,-380,67,183,0
-1145,-246,2467,-260,-89,169,0
-974,-165,2392,-115,-237,75,0
-878,-120,2311,22,-357,-53,0
-861,-85,2228,133,-394,-168,0
-841,-108,2152,206,-345,-245,0
-900,-188,2221,258,-221,-278,0
-958,-225,2261,307,-78,-272,0
-1077,-195,2262,351,-33,-246,0
-1143,-119,2207,386,-180,-200,0
-1089,-51,2146,403,-364,-141,0
-1018,-19,2148,408,-445,-71,0
-1010,29,2071,391,-438,10,0
-1039,45,1989,340,-405,102,0
-1034,49,1941,267,-359,190,0
-992,58,1926,188,-309,260,0
-948,63,1895,122,-233,298,0
-851,91,1888,72,-193,288,0
-838,106,1914,48,-172,242,0
-837,102,1896,47,-219,182,0
-861,53,1883,61,-253,124,0
-871,25,1895,98,-350,83,0
-795,100,1847,149,-391,56,0
-566,33,1721,198,-381,25,0
-453,37,1711,227,-186,-8,0
-411,157,1682,246,52,-24,0
-413,277,1587,238,283,-16,0
-522,248,1629,209,320,19,0
-618,321,1678,174,339,87,0
-778,263,1712,135,293,195,0
-981,157,1791,109,139,348,0
-902,177,1779,82,108,504,0
-799,102,1812,62,246,632,0
-613,132,1708,27,322,672,0
-710,166,1754,-14,349,672,0
-608,317,1682,-60,336,647,0
-487,386,1703,-104,474,592,0
-495,341,1708,-144,720,522,0
-661,239,1777,-175,856,467,0
-827,187,1819,-202,841,454,0
-838,172,1863,-227,839,457,0
-830,192,1821,-258,794,449,0
